"id","b_XtoZ","b_YtoZ","se_XtoZ","se_YtoZ","p_XtoZ","p_YtoZ","b_ZtoX","b_ZtoY","se_ZtoX","se_ZtoY","p_ZtoX","p_ZtoY","p_ZtoX_adj","p_XtoZ_adj","p_ZtoY_adj","p_YtoZ_adj"
"ieu-a-89",-0.0460756998399141,-0.0539595127597736,0.0206457399723545,0.0388978279919668,0.0256328690531179,0.165377291970972,-0.0534647785642117,-0.00937550875393373,0.0109333275127935,0.020201297981805,1.0079817254779e-06,0.642573039056329,4.1999238561579e-06,0.0492939789483037,0.69844895549601,0.661096569845314
"ieu-b-104",-0.0342222085195218,-0.00299943412835788,0.00812101166869338,0.0128253684264338,2.50850971719422e-05,0.815088009608088,-0.223426890076855,-0.0655127337616332,0.0428162296313433,0.0687534025402189,1.80596520691011e-07,0.340658307106938,1.12872825431882e-06,0.000156781857324639,0.442908638634551,1
"ieu-b-105",-0.0604336313237872,-0.0195731366629832,0.0118747258554516,0.023078295666267,3.59453262423392e-07,0.396371806903343,-0.147763189574447,-0.0646265894910996,0.029289344260212,0.0514220625429974,4.53647088047427e-07,0.208830705829781,2.26823544023714e-06,4.49316578029241e-06,0.34241228761349,0.973253509258694
"ieu-b-107",-0.0665414167540512,-0.0146328025344579,0.0266037830101175,0.0241770053766765,0.012377280205378,0.545021965184869,0.000986668504083618,-0.0811033645674809,0.0236505609686101,0.026563907685451,0.966723019092167,0.00226459252326004,0.994163832118139,0.02813018228495,0.00707685163518763,0.973253509258694
"ieu-b-108",0.00292106399091369,-0.0681517158616796,0.0311468350385297,0.0365530344453872,0.92528101691078,0.0622569600571224,0.0852704486856393,0.116817278327801,0.0286064503958733,0.0324040333731526,0.00287485285546798,0.000312125554356102,0.00898391517333744,0.92528101691078,0.00130052314315043,0.649937323262751
"ieu-b-109",-0.0716915475009714,-0.000720641723624176,0.0258518243328474,0.0166174637102285,0.00555128229995065,0.965409358494019,-0.0537839965702744,-0.104433713465058,0.0220360010790791,0.0266521825160059,0.0146574843261884,8.91414496564224e-05,0.036643710815471,0.0173477571873458,0.000445707248282112,1
"ieu-b-110",-0.0563918990140255,-0.0414303575322976,0.0282912999555397,0.0289131147369585,0.0462330518701474,0.151878949679863,0.0462186188518854,0.1071505232285,0.0314021270240754,0.038197668596093,0.141066564549783,0.0050291807765491,0.279099749232112,0.0825590211966918,0.0125729519413728,0.661096569845314
"ieu-b-111",0.00230115670401732,-0.0203714258694556,0.024207428790576,0.0284708132785673,0.924267217981292,0.474288013718088,0.0620901208429117,0.081028620336272,0.0207985277371253,0.0247041186247985,0.00283288038835181,0.00103820324585913,0.00898391517333744,0.92528101691078,0.00370786873521119,0.973253509258694
"ieu-b-30",0.147778429392495,-0.00483020430287237,0.0301109625905618,0.0222300343718874,9.2106088449605e-07,0.827987953843182,0.0152262210615643,0.0230551546237783,0.0169287779436233,0.0248914157207011,0.368424599310857,0.35432691090764,0.541800881339496,7.67550737080042e-06,0.442908638634551,1
"ieu-b-31",0.0260029327373839,-0.0225188358243302,0.019872782433071,0.0200666364788415,0.190714061096641,0.261776218567264,-0.000913933526687782,0.000782826415776847,0.0133481743368675,0.0195128412592235,0.945412452924707,0.967998632635185,0.994163832118139,0.317167366267538,0.967998632635185,0.818050683022701
"ieu-b-32",0.0534178473584643,-0.0416642356210528,0.0236094421272203,0.0236398882398546,0.0236626485804509,0.0779924787915301,0.0144560252694741,0.0248064688313347,0.0142305261658248,0.0221771418094049,0.30970265377636,0.263327798176557,0.483910396525563,0.0492939789483037,0.365733053022996,0.649937323262751
"ieu-b-33",0.0265253124136495,-0.00388770819352147,0.0208354252789561,0.0210532780050844,0.202987114411224,0.853495353911266,0.0384325576161686,-0.0342801000977366,0.0143014802269806,0.0226447118862138,0.007202936284241,0.130070576033678,0.0200081563451139,0.317167366267538,0.250135723141688,1
"ieu-b-34",0.18845175635302,0.0137927164551592,0.0328601156404303,0.0221653363141413,9.75299760233581e-09,0.533767528990005,-0.00072127277324778,-0.0149925483440868,0.0198899305368899,0.0278780913171119,0.971072482984047,0.590722293759944,0.994163832118139,2.43824940058395e-07,0.671275333818118,0.973253509258694
"ieu-b-38",-0.128934038364581,NA,0.276672575260771,NA,0.641203552452035,NA,0.00150118726765021,0.0312762818174731,0.00105893395848111,0.00203222072817494,0.156295859569983,1.90445096556469e-53,0.279099749232112,0.801504440565044,4.76112741391173e-52,NA
"ieu-b-39",-0.0632971070702382,0.0179766174384729,0.198118007165862,0.290563080860662,0.749353500003002,0.950667784457658,0.00196760877447481,0.0485214046698777,0.00177878550120424,0.00354435222539353,0.268660336971706,1.16861429412059e-42,0.447767228286176,0.892087500003574,1.46076786765073e-41,1
"ieu-b-40",0.0433472794333702,0.00849786802803754,0.0167426431311995,0.0193192393156769,0.00962454722570549,0.660034480740366,0.366954997240946,0.205088619208091,0.0149927316959896,0.0297075245343169,2.69234826092116e-132,5.0703906808623e-12,6.7308706523029e-131,0.0248640757345784,4.22532556738525e-11,1
"ieu-b-4808",0.0125037195188183,-0.00649553841063971,0.0175504790885127,0.0168343498269238,0.476190371181258,0.699607563305781,-0.0247914915392449,-0.0899772809070436,0.0453050140030947,0.0572331252536435,0.584232422473585,0.115922966959844,0.721632110123625,0.626566277870076,0.241506181166341,1
"ieu-b-4812",0.0125037195188183,-0.00649553841063971,0.0175504790885127,0.0168343498269238,0.476190371181258,0.699607563305781,-0.0324222109681305,-0.0472671815826868,0.0404233908140029,0.0384658856505128,0.422515015973765,0.219143864072634,0.586826411074673,0.626566277870076,0.34241228761349,1
"ieu-b-4843",-0.0972651751388449,-0.0587030810286575,0.0304865694174013,0.0433833304209832,0.00142062710582902,0.17601561142378,0.0238617136402892,-0.00208080553107712,0.0436318217702615,0.0351541567500341,0.584455776531715,0.952800072313248,0.721632110123625,0.00591927960762094,0.967998632635185,0.661096569845314
"ieu-b-4844",-0.0913764494873518,0.0560683218925613,0.0278958732376915,0.0283132748288385,0.00105428049761184,0.0476716384752473,0.000274184360243049,-0.0408251905636095,0.0374844455277755,0.0349601431643555,0.994163832118139,0.242902043031492,0.994163832118139,0.00527140248805922,0.357208886811018,0.649937323262751
"ieu-b-4846",-0.0392397331957459,-0.0264322018346652,0.0339467092663843,0.0382614539562796,0.247713242225196,0.48967169698011,0.0224771078475575,0.120311955589945,0.0435985786189628,0.0406710146756077,0.606170972503845,0.00309466954637204,0.721632110123625,0.364284179742936,0.00859630429547788,0.973253509258694
"ieu-b-4850",0.00387551690781093,0.0107052626587812,0.0266154619790947,0.0346424752980801,0.884228101943667,0.757305326260894,0.0911603299303998,0.0305543869851164,0.0608572821749656,0.0523319889424802,0.134149810549032,0.559316667779551,0.279099749232112,0.92528101691078,0.665853175928037,1
"ieu-b-4879",-0.0393510747162902,-0.0222749708542655,0.0126898495885957,0.0213857985864478,0.00192875931288946,0.297607513102004,-0.0350647059455231,-0.0552108091971593,0.0247250038072232,0.0407630046507384,0.156135857908376,0.175597880185552,0.279099749232112,0.00688842611746236,0.313567643188486,0.826687536394456
"ieu-b-5107",-0.000732783477707701,0.0132601270992056,0.00761520709710012,0.010006183153982,0.923340814671551,0.185107039556688,0.380672030704588,0.0929577097748897,0.0351583828982323,0.058841325313647,2.55447873203907e-27,0.114151959110025,2.12873227669922e-26,0.92528101691078,0.241506181166341,0.661096569845314
"ieu-b-5118",0.0289467190539101,0.00134806156217943,0.0112296089012847,0.0133426917657355,0.00994563029383137,0.919523705624897,0.578572988906107,0.284784207478608,0.0306029312322209,0.0516656682838438,1.02172278998322e-79,3.5466015314038e-08,1.27715348747903e-78,0.0248640757345784,2.21662595712737e-07,1
